X,Y,f_H_train
0.86,0.04,0.07949897509392621
0.18,0.5,0.03456513938409215
0.2,0.06,0.052611046103312215
0.46,0.22,0.002841038707133093
0.6,0.48,0.007093352386431029
0.9400000000000001,0.54,0.023705010774032198
0.12,0.7000000000000001,0.03011829138821676
0.72,0.52,0.015614691003724736
0.9400000000000001,0.84,0.049575047030305595
0.9400000000000001,0.22,0.1028401476491559
0.78,0.92,0.3786648604720355
0.48,0.62,0.06860167210856671
0.32,1.0,0.2759387230469749
0.08,0.62,0.02964620507458788
1.0,0.22,0.07262344669893255
0.84,0.18,0.08932664675294322
0.26,0.68,0.11517867652058736
0.12,0.52,0.031023192527030258
0.66,0.46,0.007075608162813795
0.92,0.12,0.12979529868503678
0.96,0.5,0.02341941111286247
0.88,0.76,0.11855872450365108
0.8,0.36,0.016810642815540712
0.0,0.7000000000000001,0.007181844592610238
0.16,0.16,0.039461418012780025
0.1,0.7000000000000001,0.02474112481295483
0.4,0.88,0.9605516043947455
0.42,0.4,0.013961208278267256
0.62,0.66,0.06485399134395484
0.38,0.28,0.007160052098521414
0.22,0.36,0.010667878534285406
0.0,0.5,0.008194325638751682
0.74,0.86,0.41900900545998476
0.9400000000000001,0.8200000000000001,0.04907610226020046
0.76,0.02,0.021415541794857985
0.2,0.52,0.04060464914458031
0.56,0.04,0.0012963191679935464
0.14,0.04,0.0850846622438324
0.78,0.1,0.044881993871144624
0.08,0.74,0.015278998175984134
0.62,0.6,0.030129814792514142
0.74,0.86,0.41900900545998476
0.24,0.72,0.1346804812155869
0.54,0.28,0.0020793629486597566
0.06,0.74,0.011665619919340155
0.24,0.2,0.010901725353451118
0.96,0.4,0.033936143447306576
0.1,0.3,0.011370299716837498
0.72,1.0,0.24171095803398268
0.36,0.46,0.028977874197881837
1.0,0.84,0.010422117079579364
0.26,0.7000000000000001,0.1401527324821547
0.1,0.22,0.029824609372040227
0.66,0.56,0.02049944450812921
0.52,0.8200000000000001,0.5771322357418368
0.9,0.3,0.061360028625229206
0.8200000000000001,0.08,0.07113879342785319
0.96,0.98,0.014098387883329603
0.86,0.52,0.027422835309290527
0.74,0.28,0.011259013017222609
0.16,0.66,0.044153862264568626
0.36,0.08,0.003497693568301976
0.84,0.9400000000000001,0.21267870998927027
0.66,0.9400000000000001,0.2803804520060117
0.54,0.96,0.44697460405744627
0.58,1.0,0.23088404745819266
0.3,0.56,0.05132929006425068
0.78,0.24,0.03145355245468972
0.72,0.1,0.014494168990679037
0.0,0.7000000000000001,0.007181844592610238
0.88,0.04,0.08753724907496056
0.48,0.34,0.005470336273534988
0.34,0.96,0.4760654046830646
0.1,0.48,0.020510283912252625
0.9400000000000001,1.0,0.018673775513544585
0.2,0.36,0.009520745618926936
0.84,0.84,0.2642632191164536
0.98,0.28,0.05912160803712511
0.8,0.58,0.0411031753794421
0.0,0.9400000000000001,0.0014002168702982691
0.22,0.62,0.055893361104325516
0.16,0.0,0.07047362161189405
0.8200000000000001,0.98,0.196083799296963
0.42,0.54,0.02582530500265197
0.22,0.92,0.10836181291189366
0.9400000000000001,0.22,0.1028401476491559
0.16,0.6,0.043837463629368516
0.56,0.4,0.003007446186129942
0.12,0.16,0.05108613251059974
0.96,0.66,0.02172403645748632
0.78,0.68,0.11081375666687174
0.86,0.58,0.04173676127613888
0.14,0.1,0.07204827984040883
0.98,0.52,0.019519351428333147
0.44,0.22,0.003212450796082992
0.08,0.96,0.0031866098968392795
0.2,0.76,0.09914251093886027
0.14,0.58,0.040878809656440966
0.68,0.04,0.0047907404713480595
0.9400000000000001,0.6,0.02565628539742445
0.0,0.78,0.003336011310858054
0.14,0.9,0.023093481481639783
1.0,0.2,0.07933853209504164
0.78,0.66,0.08892447017225241
0.1,0.5,0.024294303821354203
0.54,0.76,0.32807186757267115
0.72,0.28,0.007454146632659487
0.32,0.72,0.2886735895422098
0.72,0.74,0.18885978954433894
0.06,0.1,0.0893891099441169
0.28,0.32,0.008964171733971169
0.62,0.84,0.2842417316020537
0.64,0.08,0.0024487019235091096
0.56,0.3,0.0019022434427203784
0.58,0.78,0.2705906690784202
0.96,0.38,0.036754378068221134
0.72,0.6,0.03643132327065364
0.56,0.12,0.001335752124715833
0.76,0.68,0.10754824502978905
0.7000000000000001,0.22,0.007080884656476415
0.76,0.58,0.03504611343699325
0.18,1.0,0.02029324355368309
0.2,0.96,0.050951471398387425
0.6,0.1,0.001534129848337476
0.9,0.56,0.03131934921174026
0.42,0.32,0.008636606410636304
0.9400000000000001,0.9,0.04326557330316726
0.2,0.32,0.006624742116175557
