X,Y,f_H_train
0.74,0.0,0.4132965650372323
0.74,0.28,0.6847005488503427
0.9400000000000001,0.98,-0.23297126182350122
0.8,0.08,0.35967927032506086
0.6,0.74,-0.22278521183524977
0.14,0.68,0.6297882414427405
0.06,0.14,-0.0877483583407872
0.52,0.02,-0.01310279191710606
0.0,0.34,0.5680788904318643
0.42,0.18,-0.462540194033906
0.14,0.74,-0.23394082039390504
0.42,0.1,0.805369585732753
0.92,0.0,1.3098433416310482
0.52,0.76,0.24794823534166222
0.3,0.18,0.02704762342757272
0.18,0.76,0.8654397402929406
0.26,0.48,0.5335962029675576
0.18,0.18,0.8627278559852133
0.84,0.56,0.4168803754893534
0.8,0.54,-0.42976454003389036
0.36,0.96,0.1712143594371803
0.7000000000000001,0.44,0.7720636394005993
0.38,0.56,0.31413007286995476
0.24,0.58,0.5552719639058852
0.64,0.28,0.6717275343851695
0.44,0.18,1.0196198448689668
0.66,0.18,0.24198577618203493
0.44,0.44,-0.22630298223939802
0.36,0.58,-0.02681918177965499
0.48,0.4,0.6366337489629647
0.24,0.0,1.0162492714957683
0.34,0.46,0.14745380068297187
0.08,0.8200000000000001,-0.012908932786395766
0.9,0.2,0.5965130674151939
0.58,0.12,0.39105002187713767
0.9,0.36,-0.15035114809622302
0.52,0.92,0.5989192929734648
0.92,0.4,0.8988524327758409
0.58,0.36,0.30745251558373754
0.54,0.2,-0.39063801470509624
0.52,0.46,-0.264733131645115
0.88,0.98,-0.22180447876105283
0.34,1.0,-0.3245473313504037
0.6,0.56,-0.8929015620553027
0.56,0.62,0.1539960940973592
0.58,0.28,-0.3465372023893388
0.48,0.8200000000000001,-0.2959267147026827
0.3,0.28,0.7761002963440293
0.24,0.16,2.3651083086903983
0.62,0.84,-0.20423067224235453
0.84,0.24,0.7345071807078619
0.58,0.64,-0.214579750049561
0.84,0.1,0.8488819730736382
0.04,0.36,-0.5522788425407266
0.72,0.64,-0.5984977093959115
