X,Y,f_H
0.08,0.74,0.3268191045573715
0.08,0.76,0.130770855729852
0.08,0.78,0.27267196404857197
0.08,0.8,0.22904520386722838
0.08,0.8200000000000001,0.05496091070248314
0.08,0.84,0.2486092901469211
0.08,0.86,-0.09819019863606693
0.08,0.88,0.12604241637439317
0.08,0.9,0.10925493304191111
0.08,0.92,0.3015526016812107
0.08,0.9400000000000001,0.0026379220764389255
0.08,0.96,0.18995244622333463
0.08,0.98,0.23972428207801044
0.08,1.0,0.1599326213385471
0.1,0.0,0.48438520862297535
0.1,0.02,0.5697442133569741
0.1,0.04,0.4273648599719712
0.1,0.06,0.6766998917693995
0.1,0.08,0.7479631772644729
0.1,0.1,0.8099672429967206
0.1,0.12,0.71279237170089
0.1,0.14,0.7781538732682336
0.1,0.16,0.7558502933777774
0.1,0.18,0.8476399820720405
0.1,0.2,0.7983034044833909
0.1,0.22,0.6530888211704049
0.1,0.24,0.7967330782012604
0.1,0.26,0.791401040475417
0.1,0.28,0.6728292933053334
0.1,0.3,0.6939133282596577
0.1,0.32,0.7531893705054638
0.1,0.34,0.6445019755351667
0.1,0.36,0.45777882680208454
0.1,0.38,0.285455049514621
0.1,0.4,0.36468688236009766
0.1,0.42,0.44856603232923903
0.1,0.44,0.4401024475012032
0.1,0.46,0.4266318505797307
0.1,0.48,0.5167351715583365
0.1,0.5,0.18479295757117803
0.1,0.52,0.4403839165536527
0.1,0.54,0.22875935857490493
0.1,0.56,0.2122371393384992
0.1,0.58,0.2058995228543256
0.1,0.6,0.21095503907838034
0.1,0.62,0.05940374378032501
0.1,0.64,0.18097968633935552
0.1,0.66,0.262697666196385
0.1,0.68,0.14432044229477306
0.1,0.7000000000000001,0.37126507066444897
0.1,0.72,0.16997106089151326
0.1,0.74,0.2311358863286247
0.1,0.76,-0.01795933418847137
0.1,0.78,0.19123014370276367
0.1,0.8,0.2521948218336406
0.1,0.8200000000000001,0.2941075087548496
0.1,0.84,0.02990395669018192
0.1,0.86,0.2693507916308307
0.1,0.88,0.24591251429447306
0.1,0.9,0.19699129549110078
0.1,0.92,0.30435583772154423
0.1,0.9400000000000001,0.3272507092294987
0.1,0.96,0.12950139996140722
0.1,0.98,0.24664723388229276
0.1,1.0,0.19729144247623998
0.12,0.0,0.5849317557588769
0.12,0.02,0.701522669382739
0.12,0.04,0.5294738753490524
0.12,0.06,0.741184668479944
0.12,0.08,0.8208468915055179
0.12,0.1,0.6941923658237811
0.12,0.12,0.8034667032711763
0.12,0.14,0.7268795074792451
0.12,0.16,0.8792199364746804
0.12,0.18,0.9543411419139683
0.12,0.2,0.8139944361699127
0.12,0.22,0.9188700933001067
0.12,0.24,0.8042971049434626
0.12,0.26,0.7419370894095736
0.12,0.28,0.5634404239459342
0.12,0.3,0.6702073262345956
0.12,0.32,0.7675475832303456
0.12,0.34,0.5722981446557766
0.12,0.36,0.4955635258966508
0.12,0.38,0.46252672221840885
0.12,0.4,0.43884546454494344
0.12,0.42,0.32062982362448345
0.12,0.44,0.6081751843528345
0.12,0.46,0.39214583639250666
0.12,0.48,0.4248231760944324
0.12,0.5,0.3795585233352828
0.12,0.52,0.25702454867439883
0.12,0.54,0.5369699780467114
0.12,0.56,0.1489925087532408
0.12,0.58,0.27521768011888226
0.12,0.6,0.05368379084153335
0.12,0.62,0.3675217802946595
0.12,0.64,0.24035453141741844
0.12,0.66,0.19512175457087572
0.12,0.68,0.27333162861966553
0.12,0.7000000000000001,0.1927411238702284
0.12,0.72,0.292487520646072
0.12,0.74,0.26689838691994217
0.12,0.76,0.19574870833972463
0.12,0.78,0.13101979824647383
0.12,0.8,0.28574941326498476
0.12,0.8200000000000001,0.2651697860625444
0.12,0.84,0.24668565384838761
0.12,0.86,0.2110284688232703
0.12,0.88,0.40861208564709595
0.12,0.9,0.10381850381577518
0.12,0.92,0.23477974750299044
0.12,0.9400000000000001,0.13782773476844906
0.12,0.96,0.15082218505410647
0.12,0.98,0.30486538106292044
0.12,1.0,0.07481414622178632
0.14,0.0,0.7754022263978614
0.14,0.02,0.6383341203975935
0.14,0.04,0.8315042267560918
0.14,0.06,0.9637983960146711
0.14,0.08,0.7182245203604705
0.14,0.1,0.9752425333744081
0.14,0.12,1.0955844320354657
0.14,0.14,1.0345454149938706
0.14,0.16,0.891256016102477
0.14,0.18,1.0773682865386593
0.14,0.2,0.8564079834848511
0.14,0.22,0.7547965299498078
0.14,0.24,0.8741437888991627
0.14,0.26,0.845687247057272
0.14,0.28,0.6954235548108424
0.14,0.3,0.7777020212710042
0.14,0.32,0.5961845921094641
0.14,0.34,0.5334901106363127
0.14,0.36,0.44494567437681465
0.14,0.38,0.5206064426521867
0.14,0.4,0.3108817404061657
0.14,0.42,0.4054554543185017
0.14,0.44,0.3515620424758358
0.14,0.46,0.43335971873671814
0.14,0.48,0.39884231475825643
0.14,0.5,0.5105194772344296
0.14,0.52,0.3560052464952508
0.14,0.54,0.4039421050237469
0.14,0.56,0.3873459592706737
0.14,0.58,0.31951677452114796
0.14,0.6,0.425532497830289
0.14,0.62,0.25849911439671497
0.14,0.64,0.23385359423489455
0.14,0.66,0.3102920171049277
0.14,0.68,0.19079687137689572
0.14,0.7000000000000001,0.22750348134402318
0.14,0.72,0.3239175296566512
0.14,0.74,0.0936838115134639
0.14,0.76,0.18967392128035268
0.14,0.78,0.24295793340802882
0.14,0.8,0.04923511319293916
0.14,0.8200000000000001,0.19485617615427228
0.14,0.84,0.1939682895669502
0.14,0.86,0.1906366981047393
0.14,0.88,0.1832431774188442
0.14,0.9,0.12439035423632593
0.14,0.92,0.18557414594007685
0.14,0.9400000000000001,0.23382101421032417
0.14,0.96,-0.0350578010926558
0.14,0.98,0.11955455674884817
0.14,1.0,0.20369729299655379
0.16,0.0,0.6861622106198051
0.16,0.02,0.7337644987356379
0.16,0.04,0.6595439707621059
0.16,0.06,0.9275671040239312
0.16,0.08,1.0071736243720306
0.16,0.1,1.121261832777578
0.16,0.12,0.8224614116359206
0.16,0.14,1.0031657155578046
0.16,0.16,1.013109839445904
0.16,0.18,0.8461383388474084
0.16,0.2,0.8246961068499079
0.16,0.22,0.7417168837031245
0.16,0.24,0.6376241460229511
0.16,0.26,0.8080474846502622
0.16,0.28,0.7382054991946695
0.16,0.3,0.7794272920838942
0.16,0.32,0.5830928523003942
0.16,0.34,0.770409779754509
0.16,0.36,0.5910654107958883
0.16,0.38,0.3609776058166003
0.16,0.4,0.4966116050905016
0.16,0.42,0.42271352647609894
0.16,0.44,0.29358189098452103
0.16,0.46,0.30651795836543916
0.16,0.48,0.5089536576314141
0.16,0.5,0.4349413609054685
0.16,0.52,0.43805533497278554
0.16,0.54,0.2521013532692743
0.16,0.56,0.3497794350948451
0.16,0.58,0.32327519690931694
0.16,0.6,0.30558444749669367
0.16,0.62,0.2140602635200274
0.16,0.64,0.17223861790548844
0.16,0.66,0.18308929684157824
0.16,0.68,0.23095652095382038
0.16,0.7000000000000001,0.19134907974121718
0.16,0.72,0.23322913499541148
0.16,0.74,0.21509705562230153
0.16,0.76,0.18047197110121038
0.16,0.78,0.13063900559713765
0.16,0.8,0.31734012952218693
0.16,0.8200000000000001,0.3803671932406679
0.16,0.84,0.22750717305812573
0.16,0.86,0.18791545744092505
0.16,0.88,0.2555481061413335
0.16,0.9,0.2708308881427275
0.16,0.92,0.18837860662111097
0.16,0.9400000000000001,0.19147060979821984
0.16,0.96,0.24049661157130559
0.16,0.98,0.1921774083088006
0.16,1.0,0.2738474792756447
0.18,0.0,0.61536322342466
0.18,0.02,0.7298091275094603
0.18,0.04,0.861130253700388
0.18,0.06,0.9361611545543842
0.18,0.08,0.8217922331004062
0.18,0.1,0.88850306024917
0.18,0.12,0.7588052703119476
0.18,0.14,1.037077859981303
0.18,0.16,1.0681167049347533
0.18,0.18,0.8020822595192775
0.18,0.2,0.702527117052339
0.18,0.22,0.9948542795140622
0.18,0.24,0.8265637799469602
0.18,0.26,0.6883655953033654
0.18,0.28,0.7124229425581936
0.18,0.3,0.7434117892049092
0.18,0.32,0.7219397543887442
0.18,0.34,0.5822183104610759
0.18,0.36,0.6350845830157553
0.18,0.38,0.5911924444579111
0.18,0.4,0.528053145175067
0.18,0.42,0.5802431657816766
0.18,0.44,0.3646565599837265
0.18,0.46,0.5885023071239325
0.18,0.48,0.3141405200430658
0.18,0.5,0.5691295766142325
0.18,0.52,0.20725356061880393
0.18,0.54,0.2037565156222597
0.18,0.56,0.2142649381672858
0.18,0.58,0.20075912775187585
0.18,0.6,0.08140511626152283
0.18,0.62,0.135437715220735
0.18,0.64,0.26103590233859586
0.18,0.66,0.2338241034977631
0.18,0.68,0.10039984073674833
0.18,0.7000000000000001,0.024310416918907313
0.18,0.72,0.1275700326182797
0.18,0.74,0.2011853852045999
0.18,0.76,0.30868039433209593
0.18,0.78,0.20433973288476281
0.18,0.8,-0.1107398180049812
0.18,0.8200000000000001,0.08141980727261774
0.18,0.84,0.2844198889943971
0.18,0.86,0.3454684539688191
0.18,0.88,0.12232017018039024
0.18,0.9,0.2231485478074416
0.18,0.92,0.26717391529533296
0.18,0.9400000000000001,0.21278708903377017
0.18,0.96,0.1885750266640282
0.18,0.98,0.017657004112906688
0.18,1.0,0.2602280501009101
0.2,0.0,0.8340873408680906
0.2,0.02,0.8351181080565365
0.2,0.04,0.9177254957401308
0.2,0.06,1.0295206597105768
0.2,0.08,0.976029836392973
0.2,0.1,0.918608740408518
0.2,0.12,0.8370707172652059
0.2,0.14,0.9182279159404145
0.2,0.16,1.0091807556689503
0.2,0.18,0.949581994112502
0.2,0.2,0.959977102312897
0.2,0.22,0.9037806258427074
0.2,0.24,0.9282699601223527
0.2,0.26,0.8964954889697434
0.2,0.28,0.8512469547740796
0.2,0.3,0.708602362479251
0.2,0.32,0.7106283369555222
0.2,0.34,0.4402040801733187
0.2,0.36,0.5622721520346152
0.2,0.38,0.5836147301219092
0.2,0.4,0.4986042353567736
0.2,0.42,0.35995405337681147
0.2,0.44,0.4664216026124262
0.2,0.46,0.5218775662229838
0.2,0.48,0.5388219684565836
0.2,0.5,0.46820795299684054
0.2,0.52,0.2640950164472604
0.2,0.54,0.326471675969485
0.2,0.56,0.3411695828804735
0.2,0.58,0.1490452743539589
0.2,0.6,0.19968916729054648
0.2,0.62,0.2616260509332517
0.2,0.64,0.06460407826514786
0.2,0.66,0.24290557391242595
0.2,0.68,0.2583922377047049
0.2,0.7000000000000001,0.23657431680170965
0.2,0.72,0.19214974108430594
0.2,0.74,0.19453904401386063
0.2,0.76,0.13417285846878438
0.2,0.78,0.32345997853322395
0.2,0.8,0.06584442912008577
0.2,0.8200000000000001,0.025686394607669166
0.2,0.84,0.11350312778708449
0.2,0.86,0.229582228402311
0.2,0.88,0.2062166422403073
0.2,0.9,0.31544490161812144
0.2,0.92,0.08761036035892383
0.2,0.9400000000000001,0.14188926682100153
0.2,0.96,0.16319698834630342
0.2,0.98,0.2423095121948053
0.2,1.0,0.1903482412383944
0.22,0.0,0.8984628871551839
0.22,0.02,0.7114608418244737
0.22,0.04,0.8384008501652376
0.22,0.06,0.9195749854505744
0.22,0.08,1.100923061247446
0.22,0.1,1.0493310733301158
0.22,0.12,0.99405784798475
0.22,0.14,0.9252655717910835
0.22,0.16,0.9624105056783249
0.22,0.18,0.8817461813285205
0.22,0.2,0.875199460832193
0.22,0.22,0.7982144524985817
0.22,0.24,0.7288956094650778
0.22,0.26,0.9474506453164657
0.22,0.28,0.7977394388542232
0.22,0.3,0.608194030224123
0.22,0.32,0.42782787802334665
0.22,0.34,0.4893718196011408
0.22,0.36,0.561263475228612
0.22,0.38,0.5454305166749897
0.22,0.4,0.46216134865734787
0.22,0.42,0.6152079209929388
0.22,0.44,0.30078116274838723
0.22,0.46,0.42571881763292313
0.22,0.48,0.34335596789726935
0.22,0.5,0.22712483955526713
0.22,0.52,0.3004951085051815
0.22,0.54,0.3060552407083302
0.22,0.56,0.4243697779758727
0.22,0.58,0.3628260938823035
0.22,0.6,0.3622260888987864
0.22,0.62,0.057675658032985744
0.22,0.64,0.18114307490709897
0.22,0.66,0.07103330555962858
0.22,0.68,0.230549582615566
0.22,0.7000000000000001,0.23071384302561
0.22,0.72,0.21800481673870742
0.22,0.74,-0.06539122872922035
0.22,0.76,0.11606403759314564
0.22,0.78,-0.007152019732217352
0.22,0.8,0.11830585216502415
0.22,0.8200000000000001,0.14419800569017344
0.22,0.84,0.23131302618875016
0.22,0.86,0.07003981884706978
0.22,0.88,0.1874349322048871
0.22,0.9,0.14202919167434175
0.22,0.92,0.14573180994734558
0.22,0.9400000000000001,0.03918156856600788
0.22,0.96,0.1931167825736469
0.22,0.98,0.3705942470234759
0.22,1.0,-0.0020997015574147626
0.24,0.0,0.7464579381111944
0.24,0.02,0.9027694603446903
0.24,0.04,0.9912351302403163
0.24,0.06,0.689092576945171
0.24,0.08,0.9668445046770378
0.24,0.1,0.8146398936633528
0.24,0.12,0.9789360655775767
0.24,0.14,0.8982348896954007
0.24,0.16,1.0937573874171693
0.24,0.18,0.9788533214830235
0.24,0.2,1.0875255354313025
0.24,0.22,0.8066396457484639
0.24,0.24,0.8518965980172685
0.24,0.26,0.895254711387159
0.24,0.28,0.8428892411535879
