,X,Y,f_H
64,0.02,0.26,0.8562896210005443
65,0.02,0.28,0.8301098757528889
66,0.02,0.3,0.8024317471655875
67,0.02,0.32,0.7736089822016805
68,0.02,0.34,0.7439627703629924
69,0.02,0.36,0.7137718642249009
70,0.02,0.38,0.6832656663499505
71,0.02,0.4,0.6526205662301484
72,0.02,0.42,0.6219596303324225
73,0.02,0.44,0.591355567657205
74,0.02,0.46,0.5608367216303815
75,0.02,0.48,0.5303956845777673
76,0.02,0.5,0.5
77,0.02,0.52,0.46960431542223263
78,0.02,0.54,0.43916327836961844
79,0.02,0.56,0.40864443234279485
80,0.02,0.58,0.3780403696675777
81,0.02,0.6,0.34737943376985153
82,0.02,0.62,0.3167343336500496
83,0.02,0.64,0.28622813577509915
84,0.02,0.66,0.2560372296370076
85,0.02,0.68,0.2263910177983195
86,0.02,0.7000000000000001,0.19756825283441243
87,0.02,0.72,0.16989012424711128
88,0.02,0.74,0.1437103789994558
89,0.02,0.76,0.1194029298048008
90,0.02,0.78,0.09734755541153188
91,0.02,0.8,0.07791441699966246
92,0.02,0.8200000000000001,0.06144819580899287
93,0.02,0.84,0.048252692633250945
94,0.02,0.86,0.03857671596132655
95,0.02,0.88,0.03260202172180032
96,0.02,0.9,0.030433956742582802
97,0.02,0.92,0.03209530664860031
98,0.02,0.9400000000000001,0.03752366661879374
99,0.02,0.96,0.046572452316634184
100,0.02,0.98,0.059015462039146836
101,0.02,1.0,0.0745547037673454
102,0.04,0.0,0.9374498440154391
103,0.04,0.02,0.9534275476833658
104,0.04,0.04,0.9662216547293141
105,0.04,0.06,0.9755257648630993
106,0.04,0.08,0.9811072937770355
107,0.04,0.1,0.9828155210477983
108,0.04,0.12,0.9805862810130105
109,0.04,0.14,0.9744430022266082
110,0.04,0.16,0.9644940040279876
111,0.04,0.18,0.9509261708493197
112,0.04,0.2,0.9339953316670172
113,0.04,0.22,0.9140138594488969
114,0.04,0.24,0.8913361611091285
115,0.04,0.26,0.8663428424550654
116,0.04,0.28,0.8394243982358863
117,0.04,0.3,0.8109652916471675
118,0.04,0.32,0.7813292511286707
119,0.04,0.34,0.7508465290035897
120,0.04,0.36,0.7198037432500703
121,0.04,0.38,0.6884367693522003
122,0.04,0.4,0.6569269738838918
123,0.04,0.42,0.6254008958085265
124,0.04,0.44,0.5939332957150201
125,0.04,0.46,0.5625533167795742
126,0.04,0.48,0.5312533423098784
127,0.04,0.5,0.5
128,0.04,0.52,0.46874665769012147
129,0.04,0.54,0.4374466832204257
130,0.04,0.56,0.4060667042849799
131,0.04,0.58,0.37459910419147363
132,0.04,0.6,0.3430730261161082
133,0.04,0.62,0.3115632306477996
134,0.04,0.64,0.2801962567499297
135,0.04,0.66,0.24915347099641022
136,0.04,0.68,0.21867074887132928
137,0.04,0.7000000000000001,0.1890347083528325
138,0.04,0.72,0.16057560176411376
139,0.04,0.74,0.13365715754493468
140,0.04,0.76,0.1086638388908715
141,0.04,0.78,0.08598614055110303
142,0.04,0.8,0.06600466833298275
143,0.04,0.8200000000000001,0.04907382915068025
144,0.04,0.84,0.03550599597201256
145,0.04,0.86,0.025556997773391852
146,0.04,0.88,0.01941371898698949
147,0.04,0.9,0.01718447895220161
148,0.04,0.92,0.018892706222964503
149,0.04,0.9400000000000001,0.02447423513690083
150,0.04,0.96,0.03377834527068591
151,0.04,0.98,0.046572452316634184
152,0.04,1.0,0.0625501559845609
153,0.06,0.0,0.9461797721203226
154,0.06,0.02,0.9624763333812064
155,0.06,0.04,0.9755257648630993
156,0.06,0.06,0.9850155516262376
157,0.06,0.08,0.9907084678153107
158,0.06,0.1,0.9924507851685473
159,0.06,0.12,0.9901770575073527
