X,Y,f_L
0.14,0.08,0.08147737337391106
0.14,0.1,0.08059831565864684
0.14,0.12,0.07914420612012331
0.14,0.14,0.07720743351553917
0.14,0.16,0.07489827757908951
0.14,0.18,0.0723409837854445
0.14,0.2,0.06966945850073526
0.14,0.22,0.06702284626129146
0.14,0.24,0.06454123930206011
0.14,0.26,0.06236173744478783
0.14,0.28,0.060615027342544765
0.14,0.3,0.05942258861028705
0.14,0.32,0.05889456632954117
0.14,0.34,0.059128281122792725
0.14,0.36,0.06020728581231356
0.14,0.38,0.06220082751202941
0.14,0.4,0.06516354082609561
0.14,0.42,0.06913518527588311
0.14,0.44,0.07414025008408234
0.14,0.46,0.08018728198849656
0.14,0.48,0.08726784471199547
0.14,0.5,0.09535508784847
0.14,0.52,0.10440198208218665
0.14,0.54,0.11433935913925203
0.14,0.56,0.12507397001392412
0.14,0.58,0.13648683496553476
0.14,0.6,0.14843219539564007
0.14,0.62,0.16073738449162067
0.14,0.64,0.17320390649619383
0.14,0.66,0.1856099528967738
0.14,0.68,0.197714490620403
0.14,0.7000000000000001,0.20926293900997472
0.14,0.72,0.21999431871136127
0.14,0.74,0.22964961876614096
0.14,0.76,0.23798100151495732
0.14,0.78,0.24476136147397565
0.14,0.8,0.24979368554615974
0.14,0.8200000000000001,0.25291963611490487
0.14,0.84,0.25402680000122885
0.14,0.86,0.2530541145451115
0.14,0.88,0.24999509208818974
0.14,0.9,0.24489860658244142
0.14,0.92,0.23786716841966843
0.14,0.9400000000000001,0.22905278151934447
0.14,0.96,0.2186506355807391
0.14,0.98,0.2068910227950286
0.14,1.0,0.19402997140596365
0.16,0.0,0.07440902323625431
0.16,0.02,0.07623110515988976
0.16,0.04,0.07738135765058768
0.16,0.06,0.0778598024227098
0.16,0.08,0.07769102083392924
0.16,0.1,0.07692387001394634
0.16,0.12,0.07563013205325153
0.16,0.14,0.07390219960424652
0.16,0.16,0.07184996384330697
0.16,0.18,0.06959711854145358
0.16,0.2,0.06727712285881111
0.16,0.22,0.06502907302837567
0.16,0.24,0.06299371889159523
0.16,0.26,0.061309826821037576
0.16,0.28,0.06011103925307111
0.16,0.3,0.05952331770620064
0.16,0.32,0.05966298673288555
0.16,0.34,0.06063532732470069
0.16,0.36,0.06253360655202402
0.16,0.38,0.06543838194056183
0.16,0.4,0.06941688960327166
0.16,0.42,0.0745223183751502
0.16,0.44,0.08079279021625213
0.16,0.46,0.08824990985739256
0.16,0.48,0.09689681158850676
0.16,0.5,0.10671571335029137
0.16,0.52,0.11766508078263918
0.16,0.54,0.12967659771233925
0.16,0.56,0.14265222471555566
0.16,0.58,0.156461693639709
0.16,0.6,0.17094082392779347
0.16,0.62,0.18589104882331517
0.16,0.64,0.2010805016058646
0.16,0.66,0.2162469332881412
0.16,0.68,0.2311026173460625
0.16,0.7000000000000001,0.24534125199162418
0.16,0.72,0.2586467079529973
0.16,0.74,0.27070330419757155
0.16,0.76,0.281207141386155
0.16,0.78,0.28987789863318475
0.16,0.8,0.2964704168688065
0.16,0.8200000000000001,0.30078536161772496
0.16,0.84,0.30267828433589844
0.16,0.86,0.30206648405006775
0.16,0.88,0.2989332038085041
0.16,0.9,0.2933288682656592
0.16,0.92,0.2853692646658185
0.16,0.9400000000000001,0.2752307724286626
0.16,0.96,0.26314293895901314
0.16,0.98,0.24937886513310317
0.16,1.0,0.23424399012507885
0.18,0.0,0.06981589342833724
0.18,0.02,0.07155694328686199
0.18,0.04,0.07267561804056748
