X,Y,f_H
0.04,0.9400000000000001,0.001895949975076456
0.04,0.96,0.0017288197631237009
0.04,0.98,0.0015963633278463308
0.04,1.0,0.0014941815810313732
0.06,0.0,0.09414799198726098
0.06,0.02,0.09957229632286442
0.06,0.04,0.1017508760392903
0.06,0.06,0.1005670084658246
0.06,0.08,0.0962642236941412
0.06,0.1,0.0893891099441169
0.06,0.12,0.08068405145682027
0.06,0.14,0.07095787600816128
0.06,0.16,0.06096507635468156
0.06,0.18,0.051317930662434695
0.06,0.2,0.04244358416190833
0.06,0.22,0.03458470109468213
0.06,0.24,0.0278320318876008
0.06,0.26,0.02217264044088259
0.06,0.28,0.01753863038510139
0.06,0.3,0.013846092697048002
0.06,0.32,0.011019979530520611
0.06,0.34,0.009005404112750528
0.06,0.36,0.007768343354184111
0.06,0.38,0.007289023213936086
0.06,0.4,0.007550407252180177
0.06,0.42,0.008523401408303453
0.06,0.44,0.010150445575831894
0.06,0.46,0.01233015924276619
0.06,0.48,0.014907002097823743
0.06,0.5,0.01767048233756949
0.06,0.52,0.020367417902684426
0.06,0.54,0.022727883255357573
0.06,0.56,0.024501391156298912
0.06,0.58,0.02549594158435186
0.06,0.6,0.02561041874610603
0.06,0.62,0.02485155350622305
0.06,0.64,0.023330367655357936
0.06,0.66,0.021238569986736268
0.06,0.68,0.01881088902532066
0.06,0.7000000000000001,0.01628289625367195
0.06,0.72,0.013854358804012177
0.06,0.74,0.011665619919340155
0.06,0.76,0.009790082251464466
0.06,0.78,0.008241234885685896
0.06,0.8,0.006989313981536033
0.06,0.8200000000000001,0.005981409561883981
0.06,0.84,0.005159562026758937
0.06,0.86,0.004473421963332302
0.06,0.88,0.003886428548994162
0.06,0.9,0.0033763997028625646
0.06,0.92,0.0029325013244720106
0.06,0.9400000000000001,0.0025507515049636386
0.06,0.96,0.002229770522699203
0.06,0.98,0.0019677597984107224
0.06,1.0,0.0017609877333728513
0.08,0.0,0.09492836234305287
0.08,0.02,0.10023976566984395
0.08,0.04,0.10221712987345308
0.08,0.06,0.1007488581962868
0.08,0.08,0.09609584999175465
0.08,0.1,0.08883265695486808
0.08,0.12,0.07973639840194394
0.08,0.14,0.06965221127437572
0.08,0.16,0.05936703856833962
0.08,0.18,0.049517235349804595
0.08,0.2,0.040542923164918095
0.08,0.22,0.03268810376156381
0.08,0.24,0.026034782525116696
0.08,0.26,0.020554349865208557
0.08,0.28,0.016160319242026884
0.08,0.3,0.012751325856954149
0.08,0.32,0.01023933188375146
0.08,0.34,0.00856293942026953
0.08,0.36,0.007688420068701793
0.08,0.38,0.007601653630518163
0.08,0.4,0.008293619540220456
0.08,0.42,0.009741592465173211
0.08,0.44,0.011888527454712871
0.08,0.46,0.014624290071862948
0.08,0.48,0.01777367394221896
0.08,0.5,0.02109646937641961
0.08,0.52,0.024303312077170007
0.08,0.54,0.02708747889474245
0.08,0.56,0.029168012192646274
