X,Y,f_S_train
0.56,0.9,0.4450122149795136
0.98,0.06,0.08400813493799245
0.44,0.54,0.021810018562148176
0.8,0.76,0.23511010837820065
0.52,0.12,0.0013477512890479365
0.54,0.16,0.001405104624343534
0.42,1.0,0.5970902014973463
0.66,0.7000000000000001,0.10154981256268131
0.56,0.7000000000000001,0.14601821977965684
0.32,0.84,0.5664689097976886
0.08,0.68,0.0229806129855674
0.52,0.92,0.6257358914215903
0.22,0.4,0.017329448533814316
0.02,0.52,0.012588361123775765
0.42,0.72,0.4213312821193538
0.86,0.6,0.04825859942931458
0.26,0.56,0.0510406196510665
0.6,0.52,0.011130631974783544
0.58,0.5,0.007990799236727589
0.54,0.18,0.0014672509243040456
0.58,0.88,0.3750111829486749
0.9400000000000001,0.6,0.02565628539742445
0.4,0.08,0.0019442895040894614
0.76,0.36,0.009070311160550074
0.7000000000000001,0.18,0.008482366428678438
0.52,0.68,0.15022430274250861
0.9400000000000001,0.84,0.049575047030305595
0.34,0.68,0.20237730223775663
0.34,0.88,0.6680055986879545
0.48,0.92,0.8260912731068972
0.48,0.64,0.10027198033144999
0.84,0.44,0.01910681678565987
0.9,0.28,0.07115164931657246
0.42,0.74,0.5259643212609099
0.7000000000000001,0.16,0.008998394331473168
0.54,0.42,0.0037441843230301623
0.22,0.76,0.13381945004284815
0.78,0.32,0.01694778843490108
0.36,0.9400000000000001,0.6426923066039418
0.56,0.46,0.004823028766168809
0.68,0.0,0.0037704016401581314
0.96,0.56,0.02013616938707117
0.76,0.14,0.03296085024330039
0.4,0.52,0.02650156147231182
0.3,0.4,0.02285935172108297
0.98,0.8200000000000001,0.018235663132072148
0.4,0.88,0.9605516043947455
0.74,0.9400000000000001,0.3738974271373594
0.24,0.34,0.00934697035135946
0.7000000000000001,0.6,0.03393487816390973
0.4,1.0,0.560611426738826
0.7000000000000001,0.04,0.0074254556278992015
0.88,0.38,0.03245307599137086
0.38,0.54,0.03463398054062408
0.14,0.32,0.007453243033429942
0.98,0.26,0.06747315221717497
0.4,0.74,0.5194603830806097
0.48,0.26,0.0033283254679007156
0.36,0.86,0.7942311768907704
0.68,0.8,0.26439953736425015
0.62,0.12,0.0018687434839874883
0.58,0.92,0.3551935501280434
0.7000000000000001,0.44,0.006147429445263223
0.28,0.6,0.06238762504134027
0.64,0.02,0.002096892403695456
0.02,0.96,0.0014778882130273535
0.24,0.12,0.024529205622141146
0.2,0.98,0.040710475281103414
0.18,0.08,0.05970200978222006
0.02,0.88,0.002004531483315316
0.84,0.32,0.03691410267437072
0.18,0.44,0.021339114431092876
0.3,0.08,0.011333943042011426
0.68,0.1,0.005808942339226333
0.1,0.34,0.008012263506240614
0.22,0.04,0.04315726633406395
0.02,0.34,0.009101558364341721
0.32,0.76,0.4115543565843548
0.22,0.78,0.14518576435898967
0.32,0.12,0.006441240361457309
0.04,0.06,0.09667033758764514
0.22,0.48,0.0354215975514681
