X,Y,f_H
0.02,0.8200000000000001,0.06144819580899287
0.02,0.84,0.048252692633250945
0.02,0.86,0.03857671596132655
0.02,0.88,0.03260202172180032
0.02,0.9,0.030433956742582802
0.02,0.92,0.03209530664860031
0.02,0.9400000000000001,0.03752366661879374
0.02,0.96,0.046572452316634184
0.02,0.98,0.059015462039146836
0.02,1.0,0.0745547037673454
0.04,0.0,0.9374498440154391
0.04,0.02,0.9534275476833658
0.04,0.04,0.9662216547293141
0.04,0.06,0.9755257648630993
0.04,0.08,0.9811072937770355
0.04,0.1,0.9828155210477983
0.04,0.12,0.9805862810130105
0.04,0.14,0.9744430022266082
0.04,0.16,0.9644940040279876
0.04,0.18,0.9509261708493197
0.04,0.2,0.9339953316670172
0.04,0.22,0.9140138594488969
0.04,0.24,0.8913361611091285
0.04,0.26,0.8663428424550654
0.04,0.28,0.8394243982358863
0.04,0.3,0.8109652916471675
0.04,0.32,0.7813292511286707
0.04,0.34,0.7508465290035897
0.04,0.36,0.7198037432500703
0.04,0.38,0.6884367693522003
0.04,0.4,0.6569269738838918
0.04,0.42,0.6254008958085265
0.04,0.44,0.5939332957150201
0.04,0.46,0.5625533167795742
0.04,0.48,0.5312533423098784
0.04,0.5,0.5
0.04,0.52,0.46874665769012147
0.04,0.54,0.4374466832204257
0.04,0.56,0.4060667042849799
0.04,0.58,0.37459910419147363
0.04,0.6,0.3430730261161082
0.04,0.62,0.3115632306477996
0.04,0.64,0.2801962567499297
0.04,0.66,0.24915347099641022
0.04,0.68,0.21867074887132928
0.04,0.7000000000000001,0.1890347083528325
0.04,0.72,0.16057560176411376
0.04,0.74,0.13365715754493468
0.04,0.76,0.1086638388908715
0.04,0.78,0.08598614055110303
0.04,0.8,0.06600466833298275
0.04,0.8200000000000001,0.04907382915068025
0.04,0.84,0.03550599597201256
0.04,0.86,0.025556997773391852
0.04,0.88,0.01941371898698949
0.04,0.9,0.01718447895220161
0.04,0.92,0.018892706222964503
0.04,0.9400000000000001,0.02447423513690083
0.04,0.96,0.03377834527068591
0.04,0.98,0.046572452316634184
0.04,1.0,0.0625501559845609
0.06,0.0,0.9461797721203226
0.06,0.02,0.9624763333812064
0.06,0.04,0.9755257648630993
0.06,0.06,0.9850155516262376
0.06,0.08,0.9907084678153107
0.06,0.1,0.9924507851685473
0.06,0.12,0.9901770575073527
0.06,0.14,0.9839111809354735
0.06,0.16,0.9737636364573701
0.06,0.18,0.9599250380474209
0.06,0.2,0.9426563201097847
0.06,0.22,0.9222760894550567
0.06,0.24,0.8991458256868194
0.06,0.26,0.8736537301376737
0.06,0.28,0.846198090429815
0.06,0.3,0.8171710422636841
0.06,0.32,0.7869435727926359
0.06,0.34,0.7558525249903745
0.06,0.36,0.7241902367007107
0.06,0.38,0.6921972906354201
0.06,0.4,0.6600586727939844
0.06,0.42,0.6279034474031222
0.06,0.44,0.5958078670046556
0.06,0.46,0.5638016563679373
0.06,0.48,0.5318770467988276
0.06,0.5,0.5
0.06,0.52,0.46812295320117225
0.06,0.54,0.4361983436320627
0.06,0.56,0.4041921329953443
0.06,0.58,0.37209655259687807
0.06,0.6,0.33994132720601555
0.06,0.62,0.3078027093645798
0.06,0.64,0.2758097632992893
