X,Y,Means
0.32,0.76,0.24457
0.32,0.78,0.25224
0.32,0.8,0.25659
0.32,0.82,0.25745
0.32,0.84,0.25479
0.32,0.86,0.24865
0.32,0.88,0.2392
0.32,0.9,0.22665
0.32,0.92,0.21131
0.32,0.94,0.19353
0.32,0.96,0.17369
0.32,0.98,0.15222
0.32,1,0.12953
0.34,0,-0.0054294
0.34,0.02,0.036927
0.34,0.04,0.077025
0.34,0.06,0.11407
0.34,0.08,0.14734
0.34,0.1,0.17621
0.34,0.12,0.20017
0.34,0.14,0.21885
0.34,0.16,0.23206
0.34,0.18,0.23973
0.34,0.2,0.242
0.34,0.22,0.23915
0.34,0.24,0.23163
0.34,0.26,0.22003
0.34,0.28,0.20506
0.34,0.3,0.1875
0.34,0.32,0.16823
0.34,0.34,0.14814
0.34,0.36,0.12812
0.34,0.38,0.10903
0.34,0.4,0.091645
0.34,0.42,0.076673
0.34,0.44,0.064685
0.34,0.46,0.056117
0.34,0.48,0.051257
0.34,0.5,0.050231
0.34,0.52,0.053013
0.34,0.54,0.059422
0.34,0.56,0.06914
0.34,0.58,0.081726
0.34,0.6,0.096637
0.34,0.62,0.11326
0.34,0.64,0.13092
0.34,0.66,0.14893
0.34,0.68,0.1666
0.34,0.7,0.18328
0.34,0.72,0.19836
0.34,0.74,0.2113
0.34,0.76,0.22164
0.34,0.78,0.22904
0.34,0.8,0.23324
0.34,0.82,0.2341
0.34,0.84,0.23157
0.34,0.86,0.22571
0.34,0.88,0.21667
0.34,0.9,0.20467
0.34,0.92,0.18999
0.34,0.94,0.17298
0.34,0.96,0.15401
0.34,0.98,0.13348
0.34,1,0.1118
0.36,0,-0.019627
0.36,0.02,0.021093
0.36,0.04,0.059653
0.36,0.06,0.095286
0.36,0.08,0.1273
0.36,0.1,0.15508
0.36,0.12,0.17814
0.36,0.14,0.19613
0.36,0.16,0.20884
0.36,0.18,0.21623
0.36,0.2,0.21843
0.36,0.22,0.21569
0.36,0.24,0.20847
0.36,0.26,0.19731
0.36,0.28,0.1829
0.36,0.3,0.166
0.36,0.32,0.14746
0.36,0.34,0.12812
0.36,0.36,0.10885
0.36,0.38,0.090474
0.36,0.4,0.073748
0.36,0.42,0.05934
0.36,0.44,0.047804
0.36,0.46,0.039561
0.36,0.48,0.034886
0.36,0.5,0.033902
0.36,0.52,0.036581
0.36,0.54,0.04275
0.36,0.56,0.052102
0.36,0.58,0.064211
0.36,0.6,0.078558
0.36,0.62,0.094546
0.36,0.64,0.11153
0.36,0.66,0.12886
0.36,0.68,0.14586
0.36,0.7,0.1619
0.36,0.72,0.1764
0.36,0.74,0.18884
0.36,0.76,0.19879
0.36,0.78,0.20592
0.36,0.8,0.20998
0.36,0.82,0.21083
0.36,0.84,0.20844
0.36,0.86,0.20285
0.36,0.88,0.19422
0.36,0.9,0.18276
0.36,0.92,0.16874
0.36,0.94,0.1525
0.36,0.96,0.13439
0.36,0.98,0.11481
0.36,1,0.094123
0.38,0,-0.033167
0.38,0.02,0.0059922
0.38,0.04,0.043085
0.38,0.06,0.077371
0.38,0.08,0.10818
0.38,0.1,0.13492
0.38,0.12,0.15712
0.38,0.14,0.17445
0.38,0.16,0.1867
0.38,0.18,0.19382
0.38,0.2,0.19594
0.38,0.22,0.19332
0.38,0.24,0.18637
0.38,0.26,0.17563
0.38,0.28,0.16176
0.38,0.3,0.14549
0.38,0.32,0.12764
0.38,0.34,0.10903
0.38,0.36,0.090474
0.38,0.38,0.072782
0.38,0.4,0.056679
0.38,0.42,0.042809
0.38,0.44,0.031705
0.38,0.46,0.023771
0.38,0.48,0.019273
0.38,0.5,0.018328
0.38,0.52,0.020909
0.38,0.54,0.026849
0.38,0.56,0.035852
0.38,0.58,0.047508
0.38,0.6,0.061314
0.38,0.62,0.0767
0.38,0.64,0.093045
0.38,0.66,0.10971
0.38,0.68,0.12607
0.38,0.7,0.1415
0.38,0.72,0.15545
0.38,0.74,0.16742
0.38,0.76,0.177
0.38,0.78,0.18387
0.38,0.8,0.18779
0.38,0.82,0.18864
0.38,0.84,0.18637
0.38,0.86,0.18105
0.38,0.88,0.17281
0.38,0.9,0.16186
0.38,0.92,0.14848
0.38,0.94,0.13297
0.38,0.96,0.11568
0.38,0.98,0.096993
0.38,1,0.077267
0.4,0,-0.045487
0.4,0.02,-0.0077498
0.4,0.04,0.028006
0.4,0.06,0.061065
0.4,0.08,0.090776
0.4,0.1,0.11657
0.4,0.12,0.138
0.4,0.14,0.15472
0.4,0.16,0.16654
0.4,0.18,0.17342
0.4,0.2,0.17548
0.4,0.22,0.17295
0.4,0.24,0.16625
0.4,0.26,0.15589
0.4,0.28,0.14251
0.4,0.3,0.12683
0.4,0.32,0.1096
0.4,0.34,0.091645
0.4,0.36,0.073748
0.4,0.38,0.056679
0.4,0.4,0.041144
0.4,0.42,0.027764
0.4,0.44,0.017054
0.4,0.46,0.009402
0.4,0.48,0.0050647
0.4,0.5,0.0041555
0.4,0.52,0.0066476
0.4,0.54,0.012379
0.4,0.56,0.021063
0.4,0.58,0.032306
0.4,0.6,0.045621
0.4,0.62,0.060457
0.4,0.64,0.076218
0.4,0.66,0.092287
0.4,0.68,0.10805
0.4,0.7,0.12293
0.4,0.72,0.13638
0.4,0.74,0.14792
0.4,0.76,0.15717
0.4,0.78,0.1638
0.4,0.8,0.16759
0.4,0.82,0.16843
0.4,0.84,0.16628
0.4,0.86,0.1612
0.4,0.88,0.15332
0.4,0.9,0.14284
0.4,0.92,0.13003
0.4,0.94,0.11519
0.4,0.96,0.098654
0.4,0.98,0.08078
0.4,1,0.061925
0.42,0,-0.056094
0.42,0.02,-0.019583
0.42,0.04,0.01502
0.42,0.06,0.047021
0.42,0.08,0.075786
0.42,0.1,0.10077
0.42,0.12,0.12152
0.42,0.14,0.13772
0.42,0.16,0.14917
0.42,0.18,0.15585
0.42,0.2,0.15784
0.42,0.22,0.1554
0.42,0.24,0.14892
