,SimNum,Iteration,X,Y,Mu,Var
86,0,0,0.02,0.7,0.18736160976631244,0.03443554886114248
87,0,0,0.02,0.72,0.18028879331217823,0.03444921836537432
88,0,0,0.02,0.74,0.1725429632815842,0.03445399400675752
89,0,0,0.02,0.76,0.16413390542436623,0.03444631430711538
90,0,0,0.02,0.78,0.1550761170104507,0.03442682651902213
91,0,0,0.02,0.8,0.14538952928677834,0.03440272432813371
92,0,0,0.02,0.82,0.13510011284289142,0.034389643643847105
93,0,0,0.02,0.84,0.12424032914803157,0.03441273162807989
94,0,0,0.02,0.86,0.11284939759789775,0.03450660031061418
95,0,0,0.02,0.88,0.10097335515282779,0.03471402444165206
96,0,0,0.02,0.9,0.088664894647354,0.03508341946498583
97,0,0,0.02,0.92,0.075982977619171,0.03566531108253105
98,0,0,0.02,0.94,0.06299222751867029,0.036508155032607646
